game_id,date,home_team_code,away_team_code,home_team_name,away_team_name,home_score,away_score,arena,city,season,status
12121,2023-03-20T23:00:00.000Z,PHI,CHI,Philadelphia 76ers,Chicago Bulls,105.0,109.0,Wells Fargo Center,Philadelphia,2022,Finished
12122,2023-03-20T23:30:00.000Z,NYK,MIN,New York Knicks,Minnesota Timberwolves,134.0,140.0,Madison Square Garden,New York,2022,Finished
12123,2023-03-21T00:00:00.000Z,HOU,GSW,Houston Rockets,Golden State Warriors,108.0,121.0,Toyota Center (Houston),Houston,2022,Finished
12124,2023-03-21T00:00:00.000Z,MEM,DAL,Memphis Grizzlies,Dallas Mavericks,112.0,108.0,FedExForum,Memphis,2022,Finished
12125,2023-03-21T01:00:00.000Z,UTA,SAC,Utah Jazz,Sacramento Kings,128.0,120.0,Vivint Arena,Salt Lake City,2022,Finished
12126,2023-03-21T23:00:00.000Z,ORL,WAS,Orlando Magic,Washington Wizards,122.0,112.0,Amway Center,Orlando,2022,Finished
12127,2023-03-21T23:30:00.000Z,ATL,DET,Atlanta Hawks,Detroit Pistons,129.0,107.0,State Farm Arena,Atlanta,2022,Finished
12128,2023-03-21T23:30:00.000Z,BKN,CLE,Brooklyn Nets,Cleveland Cavaliers,109.0,115.0,Barclays Center,Brooklyn,2022,Finished
12129,2023-03-22T00:00:00.000Z,NOP,SAS,New Orleans Pelicans,San Antonio Spurs,119.0,84.0,Smoothie King Center,New Orleans,2022,Finished
12130,2023-03-22T02:00:00.000Z,SAC,BOS,Sacramento Kings,Boston Celtics,109.0,132.0,Golden 1 Center,Sacramento,2022,Finished
12131,2023-03-22T02:30:00.000Z,LAC,OKC,LA Clippers,Oklahoma City Thunder,100.0,101.0,crypto.com Arena,Los Angeles,2022,Finished
12132,2023-03-22T23:00:00.000Z,WAS,DEN,Washington Wizards,Denver Nuggets,104.0,118.0,Capital One Arena,Washington,2022,Finished
12133,2023-03-22T23:30:00.000Z,MIA,NYK,Miami Heat,New York Knicks,127.0,120.0,Miami-Dade Arena,Miami,2022,Finished
12134,2023-03-22T23:30:00.000Z,TOR,IND,Toronto Raptors,Indiana Pacers,114.0,118.0,Scotiabank Arena,Toronto,2022,Finished
12135,2023-03-22T23:30:00.000Z,DAL,GSW,Dallas Mavericks,Golden State Warriors,125.0,127.0,American Airlines Center,Dallas,2022,Finished
12136,2023-03-23T00:00:00.000Z,CHI,PHI,Chicago Bulls,Philadelphia 76ers,91.0,116.0,United Center,Chicago,2022,Finished
12137,2023-03-23T00:00:00.000Z,MEM,HOU,Memphis Grizzlies,Houston Rockets,130.0,125.0,FedExForum,Memphis,2022,Finished
12138,2023-03-23T00:00:00.000Z,MIL,SAS,Milwaukee Bucks,San Antonio Spurs,130.0,94.0,Fiserv Forum,Milwaukee,2022,Finished
12139,2023-03-23T00:00:00.000Z,MIN,ATL,Minnesota Timberwolves,Atlanta Hawks,125.0,124.0,Target Center,Minneapolis,2022,Finished
12140,2023-03-23T01:00:00.000Z,UTA,POR,Utah Jazz,Portland Trail Blazers,115.0,127.0,Vivint Arena,Salt Lake City,2022,Finished
12141,2023-03-23T02:00:00.000Z,LAL,PHX,Los Angeles Lakers,Phoenix Suns,122.0,111.0,crypto.com Arena,Los Angeles,2022,Finished
12142,2023-03-23T23:00:00.000Z,ORL,NYK,Orlando Magic,New York Knicks,111.0,106.0,Amway Center,Orlando,2022,Finished
